Návštěvník,Pořadí,Pohlaví,Místo bydliště,Škola,Zdroj informace o DOD,Který obor mne zajímá,Učitelství - předmět,Co je důležité při výběru školy,Číslo obuvi,Kočka nebo pes?,Čas hlasování
Návštěvník 2,2,Muž,Jiný okres,Nestuduji na žádné škole,Web univerzity/fakulty,"Aplikovaná informatika,Matematika ve firmách a veřejné správě",,Zaměření,45,🐶 Jedině pes!,12.2.2026 08:07
Návštěvník 3,3,Muž,Teplice,Gymnázium,Web univerzity/fakulty,"Aplikovaná chemie,Matematika ve firmách a veřejné správě",,"Styl učení, jakým učitele na dané škole učí. Dostupnost. Stav koleji (pokud jsou).",42,😺 Jasně že kočka!,12.2.2026 08:08
Návštěvník 4,4,Žena,Teplice,Střední odborná škola,Plakát/Leták/Billboard,Geografie (neučitelská),,"Obor, dojezdová vzdálenost",40,😺 Jasně že kočka!,12.2.2026 08:11
Návštěvník 5,5,Žena,Teplice,Střední odborná škola,Web univerzity/fakulty,"""Učitelství (obory pro vzdělávání, učitelství pro SŠ)""","Fyzika,Biologie","Prostředí, komunita, vzdálenost od bydliště, prestiž fakulty",42,🐶 Jedině pes!,12.2.2026 08:11
Návštěvník 6,6,Žena,Teplice,Střední odborná škola,Doporučil mi kamarád,"""Učitelství (obory pro vzdělávání, učitelství pro SŠ)""",Biologie,"prostředí, vstřícnost studentů ",40,😺 Jasně že kočka!,12.2.2026 08:11
Návštěvník 7,7,Muž,Litoměřice,Střední odborná škola,Doporučil mi učitel,Aplikovaná chemie,,"Chování učitelů, ",46,🐶 Jedině pes!,12.2.2026 08:16
Návštěvník 8,8,Muž,Litoměřice,Střední odborná škola,Instagram/Facebook,"Aplikovaná chemie,Biologie (neučitelská)",,Dojíždění a kvalita studia,47,🐶 Jedině pes!,12.2.2026 08:16
Návštěvník 9,9,Muž,Teplice,Střední odborná škola,Doporučil mi učitel,Aplikovaná chemie,,"Obor ve kterém chci dále pracovat v životě,
kolektiv učitelů a studentů, aby to pro mě bylo dostupné ohledně dopravy.",42,🐶 Jedině pes!,12.2.2026 08:18
Návštěvník 10,10,Muž,Litoměřice,Nestuduji na žádné škole,Instagram/Facebook,"Aplikovaná informatika,""Učitelství (obory pro vzdělávání, učitelství pro SŠ)""",Informatika,Dostupnost,41,🐶 Jedině pes!,12.2.2026 08:19
Návštěvník 11,11,Muž,Litoměřice,Střední odborná škola,Instagram/Facebook,Aplikovaná informatika,,Možnosti oborů a dobrý přístup ke studentům ,45,🐶 Jedině pes!,12.2.2026 08:19
Návštěvník 12,12,Žena,Litoměřice,Gymnázium,Instagram/Facebook,Biologie (neučitelská),,Kvalita vzdělání,39,😺 Jasně že kočka!,12.2.2026 08:49
Návštěvník 13,13,Žena,Litoměřice,Střední odborná škola,Instagram/Facebook,"""Učitelství (obory pro vzdělávání, učitelství pro SŠ)""","Fyzika,Matematika","Možnost vyjet s Erasmem, šance na přijetí ",38,😺 Jasně že kočka!,12.2.2026 08:50
Návštěvník 14,14,Žena,Děčín,Gymnázium,Instagram/Facebook,Biologie (neučitelská),,"aby mě bavila a viděla jsem se, že budu dělat profesi navazující na svou střední a vysokou",42,😺 Jasně že kočka!,12.2.2026 08:51
Návštěvník 15,15,Žena,Děčín,Střední odborná škola,Doporučil mi kamarád,Biologie (neučitelská),,"prestižnost, velký výběr oborů",43,🐶 Jedině pes!,12.2.2026 08:52
Návštěvník 16,16,Muž,Děčín,Gymnázium,Doporučil mi kamarád,"Biologie (neučitelská),Aplikovaná chemie",,Obory,45,😺 Jasně že kočka!,12.2.2026 09:06
Návštěvník 17,17,Muž,Děčín,Gymnázium,Plakát/Leták/Billboard,"Aplikovaná informatika,Geografie (neučitelská)",,"Město, výběr oborů a doporučení od rodiny",47,🐶 Jedině pes!,12.2.2026 09:06
Návštěvník 18,18,Žena,Jiný okres,Vysoká škola,Instagram/Facebook,Biologie (neučitelská),,"Dopravní dostupnost, vstřícné jednání, zajímavé předměty ve studijním programu",38,😺 Jasně že kočka!,12.2.2026 09:09
Návštěvník 19,19,Žena,Jiný okres,Vysoká škola,Plakát/Leták/Billboard,Biologie (neučitelská),,"Organizace studia
Možnosti různých předmětů
Dopravní dostupnost",39,🐶 Jedině pes!,12.2.2026 09:10
Návštěvník 20,20,Žena,Most,Střední odborná škola,Instagram/Facebook,"""Učitelství (obory pro vzdělávání, učitelství pro SŠ)""",Matematika,Šance na přijetí ,40,🐶 Jedině pes!,12.2.2026 09:27
Návštěvník 21,21,Muž,Most,Střední odborná škola,Web univerzity/fakulty,"Aplikovaná informatika,""Učitelství (obory pro vzdělávání, učitelství pro SŠ)""",Informatika,Přístup učitelů ,48,😺 Jasně že kočka!,12.2.2026 09:58
Návštěvník 22,22,Žena,Most,Střední odborná škola,Instagram/Facebook,Aplikované nanotechnologie,,"Praktická výuka, uplatnění v oboru a zajímavost",39,🐶 Jedině pes!,12.2.2026 10:00
Návštěvník 23,23,Muž,Teplice,Nestuduji na žádné škole,Instagram/Facebook,Aplikovaná informatika,,Profesní využití,42,🐶 Jedině pes!,12.2.2026 10:18
Návštěvník 24,24,Muž,Děčín,Střední odborná škola,Doporučil mi učitel,Počítačové modelování ve vědě a technice,,Učitelé ,43,🐶 Jedině pes!,12.2.2026 10:24
Návštěvník 25,25,Muž,Litoměřice,Střední odborná škola,Instagram/Facebook,Počítačové modelování ve vědě a technice,,Učitelé,41,🐶 Jedině pes!,12.2.2026 10:24
Návštěvník 26,26,Žena,Chomutov,Gymnázium,Web univerzity/fakulty,"Geografie (neučitelská),Počítačové modelování ve vědě a technice",,"Nejspíše jak se škola prezentuje a celkově nabídka studijních programů a oborů. Plusové body jsou určitě za vzdálenost, čím blíž, tím později můžu vstávat.",40,😺 Jasně že kočka!,12.2.2026 10:24
