X,Y
-3.0,2.847
-2.98,2.073
-2.96,2.723
-2.94,3.464
-2.92,1.575
-2.9,1.444
-2.88,3.129
-2.86,2.191
-2.839,0.83
-2.819,1.72
-2.799,0.594
-2.779,0.473
-2.759,1.065
-2.739,-1.205
-2.719,-1.129
-2.699,-0.077
-2.679,-0.636
-2.659,0.584
-2.639,-0.743
-2.619,-1.35
-2.599,1.426
-2.579,-0.364
-2.559,-0.169
-2.538,-1.757
-2.518,-0.97
-2.498,-0.407
-2.478,-1.759
-2.458,-0.321
-2.438,-1.384
-2.418,-1.161
-2.398,-1.554
-2.378,0.818
-2.358,-1.127
-2.338,-2.25
-2.318,-0.446
-2.298,-2.564
-2.278,-1.208
-2.258,-3.448
-2.237,-2.887
-2.217,-1.43
-2.197,-0.955
-2.177,-1.587
-2.157,-1.938
-2.137,-2.185
-2.117,-3.423
-2.097,-2.723
-2.077,-2.521
-2.057,-1.06
-2.037,-1.827
-2.017,-3.987
-1.997,-1.951
-1.977,-2.71
-1.957,-3.05
-1.936,-1.809
-1.916,-1.435
-1.896,-1.579
-1.876,-3.392
-1.856,-2.903
-1.836,-2.302
-1.816,-1.697
-1.796,-3.188
-1.776,-2.931
-1.756,-3.886
-1.736,-4.009
-1.716,-2.032
-1.696,-1.519
-1.676,-2.976
-1.656,-1.928
-1.635,-2.597
-1.615,-3.629
-1.595,-2.647
-1.575,-1.493
-1.555,-3.089
-1.535,-1.509
-1.515,-5.712
-1.495,-2.289
-1.475,-3.041
-1.455,-3.442
-1.435,-3.066
-1.415,-5.159
-1.395,-3.404
-1.375,-2.838
-1.355,-1.727
-1.334,-3.733
-1.314,-4.031
-1.294,-3.731
-1.274,-2.32
-1.254,-2.911
-1.234,-3.774
-1.214,-2.733
-1.194,-3.151
-1.174,-2.281
-1.154,-3.951
-1.134,-3.576
-1.114,-3.638
-1.094,-4.706
-1.074,-2.943
-1.054,-2.973
-1.033,-3.223
-1.013,-3.456
-0.993,-4.629
-0.973,-3.626
-0.953,-3.539
-0.933,-3.989
-0.913,-3.337
-0.893,-2.759
-0.873,-1.265
-0.853,-2.963
-0.833,-2.866
-0.813,-3.183
-0.793,-5.012
-0.773,-3.103
-0.753,-2.999
-0.732,-0.578
-0.712,-3.215
-0.692,-2.702
-0.672,-3.018
-0.652,-4.131
-0.632,-1.799
-0.612,-2.168
-0.592,-2.106
-0.572,-3.783
-0.552,-1.447
-0.532,-4.227
-0.512,-2.213
-0.492,-0.584
-0.472,-3.739
-0.452,-3.288
-0.431,-2.595
-0.411,-3.17
-0.391,-4.189
-0.371,-2.541
-0.351,-3.642
-0.331,-2.077
-0.311,-3.44
-0.291,-0.939
-0.271,-3.241
-0.251,-2.749
-0.231,-1.581
-0.211,-3.593
-0.191,-2.102
-0.171,-0.989
-0.151,-3.87
-0.13,-2.044
-0.11,-1.934
-0.09,-1.378
-0.07,-3.362
-0.05,-3.41
-0.03,-1.532
-0.01,-1.721
0.01,-1.731
0.03,-1.599
0.05,-2.589
0.07,-1.64
0.09,-1.542
0.11,-2.512
0.13,0.106
0.151,-1.249
0.171,-2.876
0.191,-0.99
0.211,-2.583
0.231,-0.783
0.251,-0.373
0.271,-2.314
0.291,-0.491
0.311,-1.003
0.331,-0.554
0.351,0.559
0.371,-1.544
0.391,-2.013
0.411,-2.11
0.431,-1.997
0.452,-1.219
0.472,-0.762
0.492,-0.787
0.512,-0.198
0.532,-0.973
0.552,0.506
0.572,-1.173
0.592,1.851
0.612,-0.205
0.632,-1.649
0.652,-1.825
0.672,-0.233
0.692,-0.9
0.712,0.075
0.732,-0.128
0.753,-0.636
0.773,-1.372
0.793,-2.003
0.813,-0.898
0.833,0.442
0.853,-0.163
0.873,-1.587
0.893,-0.132
0.913,0.116
0.933,-1.117
0.953,-0.044
0.973,-0.105
0.993,-1.271
1.013,0.264
1.033,0.501
1.054,1.057
1.074,1.061
1.094,-1.337
1.114,-0.865
1.134,0.62
1.154,0.65
1.174,0.683
1.194,4.052
1.214,0.8
1.234,1.395
1.254,1.243
1.274,0.969
1.294,0.031
1.314,1.133
1.334,-0.371
1.355,0.192
1.375,-0.031
1.395,0.562
1.415,2.82
1.435,-1.337
1.455,1.241
1.475,-1.035
1.495,0.129
1.515,1.712
1.535,0.709
1.555,-0.413
1.575,-0.03
1.595,1.384
1.615,-0.007
1.635,0.958
1.656,0.805
1.676,0.124
1.696,2.936
1.716,1.441
1.736,-1.204
1.756,1.021
1.776,0.186
1.796,1.712
1.816,0.078
1.836,0.767
1.856,1.396
1.876,1.765
1.896,-0.293
1.916,0.58
1.936,0.445
1.957,0.272
1.977,2.695
1.997,1.338
2.017,-0.326
2.037,1.855
2.057,3.059
2.077,1.969
2.097,-0.584
2.117,0.448
2.137,2.196
2.157,0.217
2.177,1.363
2.197,1.687
2.217,-0.022
2.237,0.836
2.258,-2.355
2.278,-0.149
2.298,0.61
2.318,-0.398
2.338,2.468
2.358,-0.61
2.378,0.364
2.398,0.917
2.418,2.208
2.438,-0.689
2.458,1.889
2.478,0.713
2.498,-0.302
2.518,1.116
2.538,0.827
2.559,0.0
2.579,0.641
2.599,0.156
2.619,0.624
2.639,1.139
2.659,2.029
2.679,-0.83
2.699,2.504
2.719,-1.619
2.739,0.142
2.759,0.841
2.779,0.491
2.799,-0.456
2.819,-0.086
2.839,-0.418
2.86,-0.562
2.88,0.827
2.9,0.284
2.92,-0.818
2.94,0.72
2.96,0.073
2.98,0.521
3.0,0.28
