"","Population","Income","Illiteracy","Life Exp","Murder","HS Grad"
"Alabama",3615,3624,2.1,69.05,15.1,41.3
"Alaska",365,6315,1.5,69.31,11.3,66.7
"Arizona",2212,4530,1.8,70.55,7.8,58.1
"Arkansas",2110,3378,1.9,70.66,10.1,39.9
"California",21198,5114,1.1,71.71,10.3,62.6
"Colorado",2541,4884,0.7,72.06,6.8,63.9
"Connecticut",3100,5348,1.1,72.48,3.1,56
"Delaware",579,4809,0.9,70.06,6.2,54.6
"Florida",8277,4815,1.3,70.66,10.7,52.6
"Georgia",4931,4091,2,68.54,13.9,40.6
"Hawaii",868,4963,1.9,73.6,6.2,61.9
"Idaho",813,4119,0.6,71.87,5.3,59.5
"Illinois",11197,5107,0.9,70.14,10.3,52.6
"Indiana",5313,4458,0.7,70.88,7.1,52.9
"Iowa",2861,4628,0.5,72.56,2.3,59
"Kansas",2280,4669,0.6,72.58,4.5,59.9
"Kentucky",3387,3712,1.6,70.1,10.6,38.5
"Louisiana",3806,3545,2.8,68.76,13.2,42.2
"Maine",1058,3694,0.7,70.39,2.7,54.7
"Maryland",4122,5299,0.9,70.22,8.5,52.3
"Massachusetts",5814,4755,1.1,71.83,3.3,58.5
"Michigan",9111,4751,0.9,70.63,11.1,52.8
"Minnesota",3921,4675,0.6,72.96,2.3,57.6
"Mississippi",2341,3098,2.4,68.09,12.5,41
"Missouri",4767,4254,0.8,70.69,9.3,48.8
"Montana",746,4347,0.6,70.56,5,59.2
"Nebraska",1544,4508,0.6,72.6,2.9,59.3
"Nevada",590,5149,0.5,69.03,11.5,65.2
"New Hampshire",812,4281,0.7,71.23,3.3,57.6
"New Jersey",7333,5237,1.1,70.93,5.2,52.5
"New Mexico",1144,3601,2.2,70.32,9.7,55.2
"New York",18076,4903,1.4,70.55,10.9,52.7
"North Carolina",5441,3875,1.8,69.21,11.1,38.5
"North Dakota",637,5087,0.8,72.78,1.4,50.3
"Ohio",10735,4561,0.8,70.82,7.4,53.2
"Oklahoma",2715,3983,1.1,71.42,6.4,51.6
"Oregon",2284,4660,0.6,72.13,4.2,60
"Pennsylvania",11860,4449,1,70.43,6.1,50.2
"Rhode Island",931,4558,1.3,71.9,2.4,46.4
"South Carolina",2816,3635,2.3,67.96,11.6,37.8
"South Dakota",681,4167,0.5,72.08,1.7,53.3
"Tennessee",4173,3821,1.7,70.11,11,41.8
"Texas",12237,4188,2.2,70.9,12.2,47.4
"Utah",1203,4022,0.6,72.9,4.5,67.3
"Vermont",472,3907,0.6,71.64,5.5,57.1
"Virginia",4981,4701,1.4,70.08,9.5,47.8
"Washington",3559,4864,0.6,71.72,4.3,63.5
"West Virginia",1799,3617,1.4,69.48,6.7,41.6
"Wisconsin",4589,4468,0.7,72.48,3,54.5
"Wyoming",376,4566,0.6,70.29,6.9,62.9
